54,0,900
36,0,900
18,0,918
36,18,918
36,0,918
36,0,918
36,0,918
36,18,900
36,0,900
18,0,918
36,18,900
36,18,918
36,18,900
36,0,900
36,18,900
36,18,900
36,18,900
36,18,900
36,18,900
36,0,918
36,0,918
36,18,918
36,18,900
36,18,900
36,0,900
36,18,900
36,0,900
36,0,918
36,0,918
36,18,900
36,0,918
36,18,900
36,0,900
36,0,900
36,0,900
36,0,918
36,0,918
36,18,918
36,0,918
36,0,918
36,0,900
36,0,900
36,0,882
36,18,900
36,18,918
36,0,918
36,0,900
36,0,900
36,0,900
36,18,900
36,18,900
36,18,900
18,0,918
36,0,918
36,18,918
18,0,900
18,0,900
18,0,918
36,0,900
18,18,918
36,18,918
36,18,900
36,0,918
36,18,900
36,18,900
36,0,918
36,0,900
36,0,900
36,0,918
36,18,900
36,0,900
18,0,900
18,0,900
18,0,900
36,0,900
36,18,900
36,18,900
18,0,900
36,0,918
36,18,900
36,0,900
36,0,900
36,18,900
36,18,900
36,18,900
36,0,900
36,0,900
36,0,900
36,18,900
36,0,900
36,0,900
36,0,900
36,18,900
36,0,900
18,0,918
36,0,918
36,18,900
36,0,918
36,0,900
36,0,900
18,0,918
36,0,900
36,0,918
36,0,882
18,0,900
36,0,918
36,18,900
36,18,900
36,0,900
36,18,900
36,0,900
36,0,900
36,0,900
36,0,900
36,0,900
36,0,900
36,0,918
36,0,900
36,0,900
36,0,900
36,0,900
36,18,900
36,0,918
36,0,900
36,0,900
36,0,918
36,0,900
36,0,918
36,18,918
36,18,900
36,0,900
36,0,900
36,18,918
18,0,918
36,18,900
36,18,900
36,18,900
36,0,900
36,18,900
36,18,918
36,0,900
36,18,900
36,18,900
36,18,900
54,18,918
36,0,918
36,18,900
36,0,900
36,18,900
18,18,900
18,0,900
36,18,900
36,0,900
18,0,900
36,0,918
36,0,900
36,0,900
36,18,918
36,18,918
36,0,918
36,18,900
36,0,918
36,0,900
36,18,918
36,0,918
36,0,900
36,18,900
36,18,900
18,0,918
36,0,900
36,18,900
36,0,918
36,0,918
36,0,900
18,18,900
36,18,900
36,18,900
18,18,900
36,18,900
36,0,900
18,18,918
36,0,900
36,0,918
36,0,900
54,0,900
36,18,900
36,18,900
18,0,918
36,18,918
54,0,918
36,0,918
36,0,900
36,0,900
36,0,900
36,0,900
36,0,918
36,0,900
36,0,918
36,18,900
36,18,900
36,0,900
36,18,918
54,0,918
36,18,900
36,0,918
36,0,900
36,18,900
36,0,900
36,0,900
36,0,900
36,0,900
36,0,918
36,0,900
36,0,918
18,18,900
36,18,882
36,0,918
18,0,918
36,0,900
36,0,900
36,18,900
36,0,918
36,18,900
36,0,900
36,0,900
36,0,918
36,18,900
36,0,900
36,18,900
36,0,918
36,0,900
18,18,900
18,18,900
36,0,900
36,18,900
36,0,918
36,0,918
36,0,900
36,0,918
36,0,900
36,0,900
36,18,900
36,0,918
18,0,918
18,0,918
36,0,918
36,0,918
36,18,900
36,0,900
36,0,900
36,0,900
36,0,900
18,0,918
36,18,900
36,0,900
18,18,900
36,0,900
36,0,918
36,0,918
36,0,918
36,0,918
36,18,900
18,0,918
36,18,918
36,18,900
36,-18,918
36,0,900
36,0,918
36,0,900
36,18,900
36,0,900
36,18,918
36,0,918
54,0,900
36,0,918
36,18,900
36,0,900
36,18,900
36,18,900
18,0,900
36,18,900
36,0,900
36,0,900
36,18,900
36,0,918
18,18,900
36,18,918
36,18,900
36,0,900
36,18,900
36,0,918
36,0,918
36,0,918
36,0,900
18,0,900
18,0,918
36,0,918
36,0,900
36,0,900
36,18,900
36,0,918
36,0,918
36,18,900
18,18,900
36,0,918
36,0,900
36,0,900
36,18,918
36,0,918
36,0,900
36,18,900
36,18,900
36,0,900
36,0,900
36,18,900
36,18,900
36,18,900
18,0,900
36,18,918
36,18,900
36,0,918
18,0,900
36,0,918
36,18,900
36,18,900
36,18,918
36,18,918
36,18,900
36,18,900
36,0,900
36,0,882
18,0,900
36,0,900
36,0,900
36,18,900
36,18,900
36,0,900
18,0,900
36,18,900
36,18,918
36,18,900
36,0,918
36,18,900
36,18,900
18,18,900
36,18,900
36,18,918
36,0,900
18,18,900
18,0,918
36,0,900
36,0,900
36,18,900
18,0,900
36,0,900
18,0,900
36,18,900
36,0,900
36,0,900
36,0,918
36,18,900
36,0,900
36,0,900
36,0,918
36,0,900
18,0,900
18,0,900
18,0,918
36,0,918
36,18,900
36,0,900
36,0,900
36,18,918
36,18,918
36,18,918
36,0,918
36,0,918
36,0,900
36,18,900
36,0,900
36,0,900
36,18,900
18,0,918
36,0,918
36,18,918
36,0,900
18,18,900
36,18,900
36,18,900
36,-18,900
36,0,918
36,0,900
36,0,900
36,0,918
36,18,900
36,0,918
36,0,918
36,18,900
36,0,900
18,0,900
36,0,900
36,18,900
36,0,900
36,0,918
36,0,918
36,0,900
36,0,900
36,18,900
36,18,900
36,0,900
36,0,900
36,0,918
36,0,900
36,0,900
36,18,900
18,0,900
36,18,918
36,18,918
36,0,900
36,18,900
36,18,918
36,0,900
36,18,900
18,0,900
36,0,900
54,0,918
36,18,900
36,0,900
36,18,900
36,18,900
36,18,900
36,18,900
36,18,900
18,18,900
36,18,918
36,18,918
36,18,900
18,18,900
18,0,900
18,0,900
18,0,918
36,18,900
36,0,918
36,0,918
18,0,918
36,18,918
18,18,900
36,0,900
36,0,900
36,18,900
36,0,918
18,18,900
36,18,918
36,18,900
36,18,900
18,0,918
36,0,918
36,0,918
36,18,900
36,18,900
18,0,918
36,18,900
36,0,900
36,18,900
36,18,900
36,18,900
36,18,900
18,0,918
36,0,918
36,18,918
18,18,900
18,0,900
18,0,900
18,18,900
36,0,900
36,0,918
36,0,900
36,0,900
36,0,900
36,0,900
36,18,900
36,18,900
36,0,900
36,0,900
36,18,900
36,18,900
36,18,918
18,0,918
36,18,900
36,18,900
36,0,900
36,18,918
36,0,900
18,0,900
18,0,900
36,18,900
36,18,918
36,18,918
36,18,918
36,18,900
18,0,900
36,0,900
36,0,900
36,18,900
36,18,900
36,18,900
36,18,900
36,0,900
36,18,900
36,0,900
18,0,918
36,0,900
18,0,900
36,18,900
36,0,900
36,0,900
36,0,900
18,18,900
18,0,900
36,0,918
36,0,918
36,0,900
18,18,918
36,0,900
36,0,918
36,18,900
36,0,918
36,18,900
36,0,900
36,0,900
36,0,900
36,18,900
36,0,900
36,0,900
36,0,900
36,0,918
36,0,900
36,18,918
36,0,918
36,18,918
36,0,900
36,0,918
36,18,900
36,18,900
36,18,900
36,0,900
36,18,900
36,18,900
18,0,918
54,0,900
36,0,900
36,18,900
36,0,900
36,0,900
36,0,900
36,18,900
36,18,900
36,0,918
36,18,900
36,0,900
36,0,900
36,18,900
18,18,900
18,0,918
36,18,900
36,0,900
36,0,900
36,18,900
36,0,900
18,0,900
36,0,918
36,18,900
36,0,918
36,0,900
36,0,900
36,18,900
36,0,900
36,18,900
36,18,900
36,0,918
18,0,900
36,0,900
36,0,900
18,0,900
18,0,918
36,0,900
36,18,900
36,0,900
36,0,900
36,18,900
36,18,900
36,0,900
36,0,900
36,0,918
36,0,900
36,0,900
36,0,900
36,0,900
36,0,900
36,0,900
36,0,900
36,0,900
36,18,900
36,0,918
36,0,900
36,18,900
36,18,900
36,18,918
36,18,900
36,18,900
36,0,900
36,0,918
36,0,900
36,0,900
18,0,900
36,18,900
18,0,900
36,0,900
36,0,900
36,18,900
36,0,900
18,0,900
36,18,900
36,0,918
36,0,918
36,0,900
36,18,900
36,0,900
36,18,900
18,0,900
18,0,918
18,0,900
18,18,900
18,0,918
36,18,900
36,18,900
36,0,900
36,18,900
36,0,918
36,0,900
18,0,900
36,0,900
18,0,900
36,18,900
18,0,900
36,0,918
36,0,900
36,0,900
18,0,900
36,18,900
36,0,918
36,0,918
36,0,900
36,0,900
36,0,900
36,0,900
36,18,900
36,0,900
36,18,900
36,0,918
36,0,900
36,0,900
36,18,900
36,18,900
18,0,900
36,0,900
36,18,900
18,-18,900
36,18,900
36,18,900
36,0,900
36,18,900
36,0,900
36,0,918
36,0,900
18,0,918
36,0,918
36,18,900
36,0,918
36,0,900
18,18,900
36,18,900
36,18,900
36,0,900
36,18,918
36,0,918
36,0,918
36,0,900
36,18,900
36,0,918
36,0,900
36,0,900
36,18,900
18,18,900
18,18,900
36,0,900
18,0,900
36,18,918
36,0,900
36,18,900
18,0,900
36,0,900
18,0,900
36,0,900
36,0,900
36,0,900
36,18,900
36,18,900
36,0,900
36,18,900
36,18,900
36,0,918
36,0,900
36,0,900
36,0,918
54,0,900
36,0,900
36,0,900
36,0,900
36,18,900
36,18,900
36,18,900
36,0,918
36,-18,918
36,18,900
36,18,900
36,0,918
36,18,900
18,18,900
36,0,900
36,0,900
36,18,900
36,0,900
36,0,918
18,0,900
36,0,900
36,18,900
36,18,900
36,18,900
36,0,900
36,18,900
36,0,900
36,18,900
36,0,900
36,18,900
36,0,900
18,18,918
18,0,900
18,0,900
36,18,900
36,0,918
36,0,900
36,-18,900
36,18,900
36,0,918
36,0,918
36,18,900
18,18,900
36,0,918
36,0,900
36,0,918
36,18,900
36,0,900
36,18,900
36,18,900
36,18,900
36,18,918
36,18,900
18,0,900
18,18,900
36,0,918
36,0,900
18,0,900
18,0,900
36,0,900
18,0,900
36,18,900
36,0,900
36,18,900
36,0,900
36,18,900
36,0,918
36,18,900
36,0,918
36,18,900
36,0,918
36,0,900
36,0,900
36,0,918
36,0,918
36,0,918
36,0,900
36,18,900
36,0,900
36,0,900
36,0,900
36,18,900
36,18,900
18,18,900
36,-18,900
36,0,918
36,18,900
36,0,900
18,0,900
36,18,918
36,18,918
36,0,918
36,0,918
